Date,Price,Open,High,Low,Vol.,Change %
28-Jul-18,8246.40,"8,188.00","8,246.40","8,073.90",13.66K,0.74%
29-Jul-18,8221.00,"8,235.70","8,293.90","8,123.00",10.19K,-0.31%
30-Jul-18,8179.60,"8,218.50","8,274.20","7,862.90",37.58K,-0.50%
31-Jul-18,7730.60,"8,179.50","8,179.50","7,670.00",43.55K,-5.49%
1-Aug-18,7608.80,"7,731.30","7,755.60","7,444.20",30.74K,-1.58%
2-Aug-18,7535.20,"7,606.00","7,707.10","7,463.10",17.75K,-0.97%
3-Aug-18,7420.00,"7,533.20","7,533.20","7,283.60",30.88K,-1.53%
4-Aug-18,7013.20,"7,420.00","7,490.00","6,930.00",31.72K,-5.48%
5-Aug-18,7025.80,"7,013.20","7,089.70","6,890.20",17.68K,0.18%
6-Aug-18,6941.30,"7,025.80","7,149.90","6,847.00",18.12K,-1.20%
7-Aug-18,6720.50,"6,940.10","7,149.90","6,678.80",32.25K,-3.18%
8-Aug-18,6279.20,"6,718.80","6,720.10","6,131.00",53.88K,-6.57%
9-Aug-18,6529.10,"6,280.70","6,623.70","6,188.20",33.38K,3.98%
10-Aug-18,6146.80,"6,533.60","6,573.60","6,014.50",43.50K,-5.86%
11-Aug-18,6232.70,"6,147.00","6,485.70","6,008.20",37.12K,1.40%
12-Aug-18,6313.90,"6,234.70","6,481.70","6,163.30",23.05K,1.30%
13-Aug-18,6251.90,"6,312.20","6,541.80","6,150.00",32.33K,-0.98%
14-Aug-18,6189.00,"6,241.30","6,244.00","5,879.30",52.70K,-1.01%
15-Aug-18,6270.10,"6,188.60","6,623.80","6,181.10",66.22K,1.31%
16-Aug-18,6314.00,"6,270.20","6,474.70","6,215.20",25.14K,0.70%
17-Aug-18,6583.30,"6,312.00","6,588.70","6,290.20",26.76K,4.27%
18-Aug-18,6391.20,"6,585.90","6,615.00","6,301.90",19.73K,-2.92%
19-Aug-18,6485.10,"6,395.00","6,550.00","6,309.30",15.35K,1.47%
20-Aug-18,6255.90,"6,485.10","6,520.60","6,230.20",31.72K,-3.53%
21-Aug-18,6479.10,"6,255.20","6,500.00","6,245.00",29.50K,3.57%
22-Aug-18,6354.90,"6,479.10","6,885.00","6,253.00",58.96K,-1.92%
23-Aug-18,6527.20,"6,363.80","6,565.60","6,350.00",19.94K,2.71%
24-Aug-18,6695.90,"6,530.50","6,728.30","6,462.70",20.20K,2.58%
25-Aug-18,6732.90,"6,693.30","6,795.50","6,670.00",16.88K,0.55%
26-Aug-18,6708.40,"6,732.80","6,784.10","6,574.50",16.75K,-0.36%
27-Aug-18,6909.50,"6,707.00","6,911.60","6,653.50",24.21K,3.00%
28-Aug-18,7079.70,"6,910.50","7,127.20","6,872.00",30.07K,2.46%
29-Aug-18,7045.70,"7,079.90","7,133.60","6,931.60",19.83K,-0.48%
30-Aug-18,6994.70,"7,037.90","7,060.00","6,802.40",24.58K,-0.72%
