Date,Price,Open,High,Low,Vol.,Change %
10-May-17,0.187,0.1564,0.1979,0.151,57.11M,19.57%
11-May-17,0.1837,0.187,0.1973,0.1618,47.81M,-1.76%
12-May-17,0.2069,0.1837,0.21,0.1806,48.15M,12.63%
13-May-17,0.2102,0.2069,0.222,0.1951,35.71M,1.59%
14-May-17,0.2171,0.2102,0.22,0.2076,17.26M,3.28%
15-May-17,0.2631,0.2171,0.2631,0.2156,55.29M,21.19%
16-May-17,0.325,0.2631,0.3347,0.25,95.31M,23.53%
17-May-17,0.375,0.325,0.3989,0.285,112.51M,15.38%
18-May-17,0.3575,0.375,0.3925,0.304,56.88M,-4.67%
19-May-17,0.3224,0.3575,0.3594,0.2817,58.13M,-9.82%
20-May-17,0.3449,0.3224,0.359,0.289,55.88M,6.98%
21-May-17,0.324,0.3449,0.36,0.319,31.29M,-6.06%
22-May-17,0.2988,0.324,0.3308,0.2348,66.18M,-7.78%
23-May-17,0.3229,0.2988,0.3542,0.2827,41.18M,8.07%
24-May-17,0.29,0.3229,0.34,0.286,49.65M,-10.19%
25-May-17,0.24,0.29,0.3027,0.231,77.64M,-17.24%
26-May-17,0.276,0.24,0.3282,0.24,69.36M,15.00%
27-May-17,0.21,0.276,0.287,0.135,142.98M,-23.91%
28-May-17,0.2281,0.21,0.2489,0.2033,55.29M,8.62%
29-May-17,0.2324,0.2281,0.2462,0.2102,47.02M,1.89%
30-May-17,0.2042,0.2324,0.2388,0.1868,40.78M,-12.13%
31-May-17,0.2475,0.2042,0.251,0.1931,51.68M,21.20%
1-Jun-17,0.3364,0.2475,0.34,0.2456,124.13M,35.92%
2-Jun-17,0.2959,0.3364,0.3372,0.2759,49.62M,-12.04%
3-Jun-17,0.2921,0.2959,0.307,0.2711,26.17M,-1.28%
4-Jun-17,0.2941,0.2921,0.31,0.271,14.94M,0.68%
5-Jun-17,0.2888,0.2941,0.2979,0.2869,12.31M,-1.80%
6-Jun-17,0.284,0.2888,0.295,0.274,41.42M,-1.66%
7-Jun-17,0.2762,0.284,0.3,0.2717,45.35M,-2.75%
8-Jun-17,0.2869,0.2762,0.2973,0.27,24.47M,3.87%
9-Jun-17,0.2814,0.2869,0.296,0.28,19.74M,-1.92%
10-Jun-17,0.2598,0.2814,0.2848,0.2555,34.21M,-7.68%
11-Jun-17,0.2701,0.2598,0.28,0.2543,21.43M,3.96%
12-Jun-17,0.2467,0.2701,0.282,0.2325,56.60M,-8.66%
13-Jun-17,0.2626,0.2467,0.275,0.2454,23.96M,6.45%
14-Jun-17,0.2623,0.2626,0.3,0.245,55.85M,-0.11%
15-Jun-17,0.245,0.2623,0.2642,0.214,50.50M,-6.60%
16-Jun-17,0.2506,0.245,0.257,0.2325,19.46M,2.29%
17-Jun-17,0.2597,0.2506,0.265,0.2357,28.88M,3.63%
18-Jun-17,0.2651,0.2597,0.278,0.247,32.93M,2.08%
19-Jun-17,0.281,0.2651,0.282,0.2588,20.88M,6.00%
20-Jun-17,0.308,0.281,0.325,0.2742,77.74M,9.61%
21-Jun-17,0.2726,0.308,0.3126,0.2542,48.48M,-11.49%
22-Jun-17,0.2779,0.2726,0.2816,0.2513,46.96M,1.94%
23-Jun-17,0.2916,0.2779,0.295,0.2767,23.59M,4.93%
24-Jun-17,0.2775,0.2916,0.3039,0.2564,74.57M,-4.84%
25-Jun-17,0.2577,0.2775,0.2816,0.2485,25.11M,-7.14%
26-Jun-17,0.2461,0.2577,0.2672,0.2184,57.63M,-4.50%
27-Jun-17,0.2618,0.2461,0.2618,0.2261,41.43M,6.38%
28-Jun-17,0.2686,0.2618,0.2687,0.2487,27.68M,2.60%
29-Jun-17,0.2561,0.2686,0.2693,0.2513,21.95M,-4.65%
30-Jun-17,0.2466,0.2561,0.2596,0.245,17.42M,-3.71%
1-Jul-17,0.2386,0.2466,0.2518,0.2337,17.67M,-3.24%
2-Jul-17,0.2537,0.2386,0.2547,0.233,13.95M,6.33%
3-Jul-17,0.2523,0.2537,0.2567,0.2445,19.64M,-0.55%
4-Jul-17,0.2473,0.2523,0.2581,0.2471,18.00M,-1.98%
5-Jul-17,0.252,0.2473,0.2563,0.2434,15.41M,1.90%
6-Jul-17,0.2506,0.252,0.2528,0.2482,9.83M,-0.56%
7-Jul-17,0.2303,0.2506,0.2516,0.2298,22.49M,-8.10%
8-Jul-17,0.23,0.2303,0.2321,0.2112,38.29M,-0.13%
9-Jul-17,0.2261,0.23,0.2422,0.2259,14.41M,-1.70%
10-Jul-17,0.1883,0.2261,0.2269,0.1707,50.35M,-16.72%
11-Jul-17,0.1778,0.1883,0.1994,0.1511,95.62M,-5.58%
12-Jul-17,0.1958,0.1778,0.1971,0.1656,46.48M,10.12%
13-Jul-17,0.1925,0.1958,0.2178,0.181,39.49M,-1.69%
14-Jul-17,0.1843,0.1925,0.1925,0.1717,27.61M,-4.26%
15-Jul-17,0.172,0.1843,0.1848,0.1707,29.08M,-6.67%
16-Jul-17,0.1461,0.172,0.1743,0.1275,113.36M,-15.06%
17-Jul-17,0.1723,0.1461,0.1732,0.1451,72.61M,17.93%
18-Jul-17,0.1788,0.1723,0.189,0.1605,63.60M,3.77%
19-Jul-17,0.163,0.1788,0.1838,0.1574,49.72M,-8.84%
20-Jul-17,0.1925,0.163,0.1962,0.162,72.00M,18.10%
21-Jul-17,0.1835,0.1925,0.1936,0.1828,41.42M,-4.68%
22-Jul-17,0.1977,0.1835,0.2022,0.182,44.31M,7.74%
23-Jul-17,0.1966,0.1977,0.2065,0.1873,53.84M,-0.56%
24-Jul-17,0.1915,0.1966,0.1984,0.1893,23.03M,-2.59%
25-Jul-17,0.1744,0.1915,0.1926,0.1658,56.07M,-8.93%
26-Jul-17,0.1723,0.1744,0.1787,0.1642,35.12M,-1.20%
27-Jul-17,0.1725,0.1723,0.1756,0.17,20.97M,0.12%
28-Jul-17,0.1633,0.1725,0.1738,0.1591,32.44M,-5.33%
29-Jul-17,0.169,0.1633,0.1704,0.155,26.29M,3.49%
30-Jul-17,0.1633,0.169,0.1709,0.1609,12.87M,-3.37%
31-Jul-17,0.1648,0.1633,0.1689,0.1585,24.38M,0.92%
1-Aug-17,0.1776,0.1648,0.1847,0.162,72.69M,7.77%
2-Aug-17,0.1709,0.1776,0.1794,0.1676,35.42M,-3.77%
3-Aug-17,0.1748,0.1709,0.1771,0.1696,18.50M,2.28%
4-Aug-17,0.1744,0.1748,0.1767,0.1717,21.11M,-0.23%
5-Aug-17,0.1848,0.1744,0.1928,0.1719,61.31M,5.96%
6-Aug-17,0.1802,0.1848,0.1896,0.1786,29.47M,-2.49%
7-Aug-17,0.1782,0.1802,0.1828,0.1766,31.30M,-1.11%
8-Aug-17,0.1967,0.1782,0.1972,0.1772,72.73M,10.38%
9-Aug-17,0.1841,0.1967,0.1967,0.1818,42.02M,-6.41%
10-Aug-17,0.1809,0.1841,0.185,0.1784,33.72M,-1.74%
11-Aug-17,0.1778,0.1809,0.184,0.1758,39.33M,-1.71%
12-Aug-17,0.1716,0.1778,0.1825,0.1707,40.43M,-3.49%
13-Aug-17,0.1657,0.1716,0.1721,0.1587,62.43M,-3.44%
